Ê±¼ä,Å¤Á¦
2017_10_28_15_10_22_490,53,51,57,57,55,46,42,42,44,46,51,53,55,55,55,55,55,55,55,57,57,59,59,59,61,61,61,61,63,63,63,65,65,65,65,65,65,65,65,63,63,63,63,65,65,65,65,67,67,67,67,67,67,67,70,70,72,72,72,72,72,70,70,67,67,67,61,61,53,53,53,48,48,48,48,48,51,51,53,53,59,59,59,61,61,63,63,63,63,63,61,61,59,59,59,55,55,53,53,53,53,53,53,53,53,48,48,48,48,46,46,46,46,46,46,46,46,48,48,48,48,48,48,48,48,48,48,48,48,48,48,51,51,53,53,53,53,53,55,55,55,55,55,57,57,57,57,57,55,55,51,51,51,48,48,48,48,51,51,51,55,55,57,57,57,57,57,57,57,57,57,57,57,57,59,59,61,61,61,63,63,67,67,70,70,70,74,74,76,76,82,82,82,84,84,89,89,93,93,93,105,105,122,122,143,143,167,167,190,190,213,213,236,236,264,264,293,329,329,365,365,401,401,435,435,464,464,498,534,534,563,563,580,582,591,597,603,618,595,595,74,74,72,72,70,70,70,67,67,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_10_28_676,46,51,63,61,55,48,38,36,36,36,40,46,51,55,55,55,55,53,53,53,51,51,51,48,48,51,53,53,55,55,57,61,61,63,63,63,63,61,61,61,61,59,59,59,59,61,61,65,65,67,67,70,70,70,67,67,67,67,67,67,67,67,67,65,65,65,59,59,53,53,53,51,51,48,48,48,51,51,51,51,55,55,55,59,59,61,61,63,63,63,65,65,63,63,63,63,63,61,59,59,55,55,55,55,55,55,55,57,57,59,59,59,59,59,59,59,59,59,59,57,57,55,55,55,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,51,51,46,46,44,44,44,42,42,42,42,42,42,42,42,42,44,44,44,46,46,46,46,46,48,48,48,48,46,46,46,44,44,40,40,40,38,38,36,36,36,36,36,38,38,38,38,38,42,42,44,46,48,48,48,46,46,44,44,44,40,40,40,40,40,36,36,36,36,38,38,38,38,38,40,40,42,42,42,44,44,44,44,44,44,44,44,44,44,44,44,42,42,40,40,40,40,40,42,42,42,42,42,46,46,51,51,55,55,55,55,55,53,53,53,51,51,46,46,46,46,46,48,48,53,53,53,57,57,61,61,65,65,65,67,67,67,67,65,65,65,63,63,63,63,63,61,61,61,61,63,63,63,65,65,72,72,82,82,82,93,93,101,101,108,108,118,118,118,127,127,139,139,152,152,167,167,181,181,181,194,194,209,209,226,226,249,249,278,312,312,354,354,399,449,449,506,553,553,582,595,601,605,595,595,67,70,70,70,70,70,70,70,70,70,67,67,67,67,65,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_10_34_402,65,53,76,70,59,53,48,46,46,51,59,70,76,80,80,80,76,70,67,67,70,76,76,80,86,97,97,105,105,112,118,118,124,124,133,139,139,146,146,150,150,152,152,158,158,167,167,181,181,200,200,224,224,249,249,274,276,304,304,331,331,361,361,392,430,430,466,466,502,502,538,565,565,582,591,597,603,599,595,120,120,118,118,118,118,116,116,116,116,116,118,118,118,118,118,116,116,114,114,110,110,108,108,108,108,108,108,108,108,108,108,108,108,108,105,105,105,101,101,101,101,99,99,101,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_10_40_865,40,51,53,46,40,29,27,36,38,40,42,44,44,44,42,40,42,42,42,42,44,44,46,46,46,46,46,46,46,46,48,48,48,51,51,51,51,51,51,51,51,51,51,53,53,55,55,57,57,53,53,53,53,53,53,53,55,55,55,57,57,59,59,57,57,57,51,51,44,44,44,38,38,38,38,38,38,38,40,40,42,42,42,44,44,46,46,46,48,48,51,51,48,48,48,46,46,44,44,44,42,42,40,40,40,40,40,40,40,42,42,42,44,44,46,46,46,46,46,46,46,46,46,46,44,44,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,44,44,44,46,46,46,46,46,48,48,46,46,46,46,46,46,46,44,44,44,44,44,44,44,46,46,46,46,46,48,48,48,48,48,48,48,48,48,48,48,48,46,46,46,44,44,44,44,42,42,42,42,42,40,40,40,40,40,42,42,44,44,44,48,48,48,48,51,51,51,55,55,57,57,61,61,61,65,65,70,70,70,72,72,74,74,74,74,74,76,76,78,78,82,82,82,86,86,93,95,103,103,110,110,110,116,116,120,120,127,127,127,135,135,143,143,152,152,162,162,162,171,171,181,181,192,192,198,198,198,211,211,226,226,245,245,266,266,289,291,319,319,346,346,375,411,411,447,447,483,483,519,519,555,578,578,593,601,614,595,97,95,95,95,95,95,95,95,95,95,95,95,95,95,93,93,93,93,91,89,89,86,86,86,86,89,89,93,95,95,95,95,93,93,93,93,93,89,89,86,86,84,84,84,84,82,82,82,84,84,86,86,86,86,86,89,89,89,89,89,89,86,86,84,84,82,80,80,78,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_10_47_87,32,34,40,42,40,34,29,29,34,34,36,38,38,38,38,40,42,44,44,44,42,42,40,40,40,42,42,42,42,42,44,46,46,48,48,51,51,51,51,51,51,51,51,53,53,53,53,55,55,55,55,57,57,57,59,59,59,59,61,61,61,61,61,59,59,59,55,55,48,48,48,44,44,42,42,42,42,42,44,44,48,48,48,48,48,53,53,55,55,55,55,55,53,53,53,53,53,51,51,51,53,53,53,53,51,51,51,51,51,51,51,51,51,51,53,53,55,55,55,55,55,55,55,55,55,55,55,55,53,53,53,53,53,55,55,61,61,61,74,74,91,91,110,110,135,135,156,156,179,179,200,200,219,219,245,245,272,272,308,308,344,384,384,420,420,460,460,496,532,532,559,559,578,578,589,597,601,614,610,595,595,103,103,103,103,103,103,105,105,108,108,105,105,103,103,103,103,103,103,103,105,105,105,105,108,108,108,108,108,108,108,108,108,108,108,108,108,108,110,110,110,112,112,112,112,112,112,110,110,110,112,112,112,112,110,110,110,110,108,108,110,110,110,112,112,112,112,114,114,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_10_54_932,194,150,238,295,327,335,346,359,382,449,487,525,570,576,584,595,597,595,70,70,72,74,74,76,76,76,76,76,76,78,78,76,76,76,76,78,76,76,74,74,72,72,70,70,65,65,65,65,65,65,65,67,67,72,72,74,74,74,74,74,72,72,70,70,67,67,67,70,70,70,70,72,72,72,72,72,70,70,67,67,67,67,65,65,65,65,65,65,65,67,67,67,67,70,70,70,70,70,67,67,63,63,61,61,61,61,61,59,59,59,59,59,59,61,61,61,61,61,59,59,57,57,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_11_3_342,297,160,287,384,403,420,432,449,502,534,555,570,580,597,597,597,63,57,61,61,67,72,72,76,78,78,80,82,82,80,80,78,78,78,78,72,72,65,65,59,57,57,59,59,63,63,65,67,67,67,67,65,65,65,65,61,61,59,59,59,59,59,59,59,59,59,61,61,61,63,63,63,63,63,63,61,61,61,59,59,59,59,57,57,59,59,59,61,61,61,61,61,61,61,61,61,61,61,61,61,59,59,59,59,57,57,57,57,57,59,59,61,61,61,61,61,59,59,57,57,57,57,55,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_11_9_484,42,53,53,44,40,38,34,34,40,44,48,51,48,48,46,44,44,42,42,42,42,42,44,44,44,48,48,48,51,51,51,51,51,51,51,48,48,48,48,46,46,48,48,51,51,55,55,59,59,61,61,63,63,63,63,63,63,63,63,63,63,61,61,57,57,57,53,53,51,51,51,51,51,51,51,55,55,55,57,57,59,59,59,61,61,63,63,63,63,63,65,65,65,65,65,67,67,70,70,76,76,80,82,82,89,89,93,93,99,99,99,105,105,112,112,118,118,118,124,124,137,137,152,152,169,171,190,190,211,211,232,234,255,255,272,272,291,293,316,316,346,346,380,382,422,422,464,506,506,544,544,570,570,586,593,601,608,597,595,99,101,101,101,101,103,103,103,103,103,103,103,103,103,101,101,101,101,101,103,103,103,103,103,103,103,103,103,105,105,105,105,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,110,110,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,110,110,110,110,110,110,112,112,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_11_17_569,403,156,283,443,523,544,559,561,574,580,593,597,595,595,65,65,65,63,63,61,59,59,59,59,59,59,61,61,63,67,67,72,72,72,72,70,70,65,63,57,55,51,46,46,48,48,51,51,53,57,57,61,61,63,65,63,63,61,61,57,55,55,55,55,53,53,53,53,55,57,57,59,59,61,61,61,63,63,61,61,61,61,57,57,57,57,55,55,55,55,55,59,59,59,61,61,61,61,61,61,59,59,59,59,57,57,57,57,57,59,59,59,59,61,61,61,61,61,61,61,61,61,61,63,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017_10_28_15_11_23_879,61,48,76,74,70,65,63,59,55,55,57,63,70,72,72,72,72,72,72,72,72,70,70,70,67,67,70,70,72,76,76,78,78,80,80,78,78,76,78,78,78,78,80,80,84,84,84,89,89,91,91,93,93,93,93,95,95,95,95,95,95,95,95,93,93,91,91,91,89,89,86,86,86,86,86,84,84,86,86,86,89,89,91,91,93,93,93,97,97,97,97,97,97,97,95,95,95,91,91,89,89,86,86,86,86,86,86,86,86,84,84,82,82,82,82,82,82,82,84,84,84,86,86,86,86,86,84,84,84,84,84,84,84,82,82,82,82,82,84,84,84,84,89,89,89,89,89,91,91,89,89,89,89,89,89,89,89,89,89,89,89,89,91,91,93,93,97,97,103,103,103,110,110,118,118,127,127,133,133,133,141,141,150,150,162,162,179,179,198,198,219,219,243,243,268,268,268,291,314,314,340,340,365,365,388,390,413,413,435,437,460,460,483,483,513,513,544,546,576,593,603,610,597,597,99,101,101,103,103,101,101,99,99,99,97,97,99,99,97,97,99,99,97,97,97,95,95,95,95,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
